tech_group,public_active,cluster15_active,cluster14_intake
Geothermal,0.0005876408702673012,0.0,0.0
Gravity via Rail,0.0004878527979577595,0.0,0.0
Natural Gas,0.00038806472564821776,0.0,0.0
Steam Turbine,0.0,0.0,0.006962573801560522
Steam Turbine Geothermal,0.0,0.0,0.0005000222377814467
Water,5.5437817949745395e-05,0.0,0.0
hybrid_multi,0.004435025435979632,0.010739638933339062,0.004717190922466479
hybrid_other,0.011200434987294762,0.029507157969349072,0.0016038449136386026
hybrid_solar_storage,0.5373263937011995,0.4107911892002191,0.3099013295929054
hybrid_solar_wind,0.0,0.0,0.0014151572767399435
hybrid_storage_wind,0.03823978718973948,0.0,0.04291783323820237
solar,0.010084139085058688,0.14164993072932888,0.028160214649848133
storage,0.360542288300159,0.3964489383866915,0.5530585587609218
unknown,0.0,0.0,0.0
wind,0.036652935088745967,0.010863144781072462,0.050763274605935355
