poi,projects
Red Bluff Substation,6
Moorpark Substation,6
Bellota Substation,6
Gates Substation,5
Mira Loma Substation,5
Midway Substation,5
Otay Mesa Substation,4
Lamont Substation,4
Le Grand Substation,4
Los Banos Substation,4
Pittsburg Substation,4
Vincent Substation,4
Whirlwind Substation,4
Diablo Canyon Switching Station,4
Tesla Substation,4
Alpaugh Substation,3
Border Substation,3
La Cienega Substation,3
Laguna Bell Substation,3
Cielo Azul Substation,3
Trout Canyon Substation,3
Etiwanda Substation,3
Antelope Substation,3
Springville Substation,3
Windhub Substation,3
Rector Substation,3
Vista Substation,3
Vestal Substation,3
Delaney Substation,3
Vaca Dixon Substation,3
