county_norm,projects,withdrawn_projects,active_projects,total_mw,withdrawn_mw,withdrawal_rate_count,withdrawal_share_mw
san bernardino,25,5,20,11085.33348,2301.13128,0.2,0.20758340596173028
fresno,19,4,15,14149.267973,1396.072973,0.21052631578947367,0.09866750531999413
kern,15,3,12,8191.6673464,3107.95,0.2,0.3794038342347793
merced,12,6,6,4293.489,1974.0349999999999,0.5,0.4597740904891104
nye,12,5,7,8690.0971,6392.3226,0.4166666666666667,0.7355870166283872
los angeles,10,4,6,5160.093373,2091.7381,0.4,0.40536826541646387
riverside,7,1,6,2264.6105,407.3264,0.14285714285714285,0.17986598578431037
san joaquin,7,2,5,1741.6053906,610.18949,0.2857142857142857,0.35036035906491064
kings,6,1,5,2733.7929507999997,309.70000000000005,0.16666666666666666,0.1132858287272163
stanislaus,5,3,2,1442.2618109999999,339.144,0.6,0.23514732028081137
santa clara,5,4,1,984.04,676.42,0.8,0.687390756473314
alameda,5,3,2,1827.46,1217.4499999999998,0.6,0.6661978921563262
clark,4,4,0,2136.693288,2136.693288,1.0,1.0
orange,4,1,3,1306.795,51.48,0.25,0.03939409012125084
monterey,3,2,1,237.136,32.277,0.6666666666666666,0.13611176708724107
calaveras,3,0,3,847.9304000000001,0.0,0.0,0.0
inyo,3,3,0,1984.790234,1984.790234,1.0,1.0
maricopa,3,0,3,2939.3921,0.0,0.0,0.0
colusa,2,0,2,380.5969620000001,0.0,0.0,0.0
san bernadino,2,0,2,870.6980000000001,0.0,0.0,0.0
yuma,2,1,1,1514.5990000000002,514.599,0.5,0.3397592366032197
san diego,2,2,0,712.0699999999999,712.0699999999999,1.0,1.0
lassen,1,1,0,11.4,11.4,1.0,1.0
madera,1,0,1,317.5,0.0,0.0,0.0
imperial,1,1,0,150.68,150.68,1.0,1.0
contra costa,1,1,0,15.57,15.57,1.0,1.0
king,1,1,0,437.08,437.08,1.0,1.0
kings and fresno,1,0,1,1879.7944,0.0,0.0,0.0
mohave,1,1,0,1434.6,1434.6,1.0,1.0
la paz,1,1,0,2030.8,2030.8,1.0,1.0
san benito,1,1,0,412.1,412.1,1.0,1.0
solano,1,0,1,108.0,0.0,0.0,0.0
sutter,1,0,1,414.4,0.0,0.0,0.0
tehama,1,1,0,206.3,206.3,1.0,1.0
"tijuana, mexico",1,0,1,309.1,0.0,0.0,0.0
tulare,1,0,1,1046.503052,0.0,0.0,0.0
